Team,Score
New_Orleans_Pelicans.txt,1.746
Orlando_Magic.txt,1.65
Toronto_Raptors.txt,1.282
Sacramento_Kings.txt,1.037
Cleveland_Cavaliers.txt,1.02
Oklahoma_City_Thunder.txt,0.989
Atlanta_Hawks.txt,0.668
Indiana_Pacers.txt,0.601
Milwaukee_Bucks.txt,0.584
Charlotte_Hornets.txt,0.583
Detroit_Pistons.txt,0.575
Boston_Celtics.txt,0.447
Los_Angeles_Clippers.txt,0.425
Chicago_Bulls.txt,0.397
Phoenix_Suns.txt,0.392
Memphis_Grizzlies.txt,0.097
Golden_State_Warriors.txt,0.056
Brooklyn_Nets.txt,0.02
Portland_Trail_Blazers.txt,-0.01
Denver_Nuggets.txt,-0.097
Dallas_Mavericks.txt,-0.139
Houston_Rockets.txt,-0.151
Los_Angeles_Lakers.txt,-0.16
Philadelphia_Sixers.txt,-0.191
Minnesota_Timberwolves.txt,-0.554
San_Antonio_Spurs.txt,-0.651
Miami_Heat.txt,-0.664
New_York_Knicks.txt,-0.692
Utah_Jazz.txt,-0.756
Washington_Wizards.txt,-1.14
